trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
88,True,"{'a': 0.05, 'e': 7.504557915076858e-06}",20,12,15.92053834996696,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
89,True,"{'a': 0.05, 'e': 6.79040480737947e-06}",20,16,6.538347314165332,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,True,"{'a': 0.05, 'e': 6.14421235332821e-06}",20,11,16.00292772905634,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,True,"{'a': 0.05, 'e': 5.559513241650137e-06}",30,13,33.75190069973002,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
92,True,"{'a': 0.05, 'e': 5.030455607111439e-06}",25,7,33.22442047138201,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,True,"{'a': 0.05, 'e': 4.551744463083231e-06}",20,10,18.622893122466632,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,True,"{'a': 0.05, 'e': 4.118588707535708e-06}",20,15,10.021491309367658,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
95,True,"{'a': 0.05, 'e': 3.726653172078671e-06}",25,14,20.685858502095,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
96,True,"{'a': 0.05, 'e': 3.3720152341391786e-06}",25,14,19.00062367627003,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
97,True,"{'a': 0.05, 'e': 3.051125558036417e-06}",30,16,29.341566499777002,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
98,True,"{'a': 0.05, 'e': 2.7607725720371986e-06}",20,2,30.480204335790663,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,True,"{'a': 0.05, 'e': 2.498050325866635e-06}",25,12,19.31798583023335,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
100,True,"{'a': 0.05, 'e': 2.2603294069810542e-06}",20,13,12.07329719610469,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
